species,found,URL,count
Athyma fortuna,False,https://www.ebay.com/sch/i.html?_sacat=0&_udlo&_udhi&_ftrt=901&_ftrv=1&_sabdlo&_sabdhi&_samilow&_samihi&_sop=12&_dmd=1&_ipg=200&_fosrp=1&_nkw=%22Athyma+fortuna%22&rt=nc&LH_PrefLoc=2&_trksid=p2045573.m1684,0
Pantoporia kodahirai,False,https://www.ebay.com/sch/i.html?_sacat=0&_udlo&_udhi&_ftrt=901&_ftrv=1&_sabdlo&_sabdhi&_samilow&_samihi&_sop=12&_dmd=1&_ipg=200&_fosrp=1&_nkw=%22Pantoporia+kodahirai%22&rt=nc&LH_PrefLoc=2&_trksid=p2045573.m1684,0
Athyma diffusa,False,https://www.ebay.com/sch/i.html?_sacat=0&_udlo&_udhi&_ftrt=901&_ftrv=1&_sabdlo&_sabdhi&_samilow&_samihi&_sop=12&_dmd=1&_ipg=200&_fosrp=1&_nkw=%22Athyma+diffusa%22&rt=nc&LH_PrefLoc=2&_trksid=p2045573.m1684,0
Athyma guangxiensis,False,https://www.ebay.com/sch/i.html?_sacat=0&_udlo&_udhi&_ftrt=901&_ftrv=1&_sabdlo&_sabdhi&_samilow&_samihi&_sop=12&_dmd=1&_ipg=200&_fosrp=1&_nkw=%22Athyma+guangxiensis%22&rt=nc&LH_PrefLoc=2&_trksid=p2045573.m1684,0
Pantoporia fortuna,False,https://www.ebay.com/sch/i.html?_sacat=0&_udlo&_udhi&_ftrt=901&_ftrv=1&_sabdlo&_sabdhi&_samilow&_samihi&_sop=12&_dmd=1&_ipg=200&_fosrp=1&_nkw=%22Pantoporia+fortuna%22&rt=nc&LH_PrefLoc=2&_trksid=p2045573.m1684,0
Athyma godmani,False,https://www.ebay.com/sch/i.html?_sacat=0&_udlo&_udhi&_ftrt=901&_ftrv=1&_sabdlo&_sabdhi&_samilow&_samihi&_sop=12&_dmd=1&_ipg=200&_fosrp=1&_nkw=%22Athyma+godmani%22&rt=nc&LH_PrefLoc=2&_trksid=p2045573.m1684,0
Pantoporia reducta,False,https://www.ebay.com/sch/i.html?_sacat=0&_udlo&_udhi&_ftrt=901&_ftrv=1&_sabdlo&_sabdhi&_samilow&_samihi&_sop=12&_dmd=1&_ipg=200&_fosrp=1&_nkw=%22Pantoporia+reducta%22&rt=nc&LH_PrefLoc=2&_trksid=p2045573.m1684,0
Pantoporia godmani,False,https://www.ebay.com/sch/i.html?_sacat=0&_udlo&_udhi&_ftrt=901&_ftrv=1&_sabdlo&_sabdhi&_samilow&_samihi&_sop=12&_dmd=1&_ipg=200&_fosrp=1&_nkw=%22Pantoporia+godmani%22&rt=nc&LH_PrefLoc=2&_trksid=p2045573.m1684,0
Athyma jina,True,https://www.ebay.com/sch/i.html?_sacat=0&_udlo&_udhi&_ftrt=901&_ftrv=1&_sabdlo&_sabdhi&_samilow&_samihi&_sop=12&_dmd=1&_ipg=200&_fosrp=1&_nkw=%22Athyma+jina%22&rt=nc&LH_PrefLoc=2&_trksid=p2045573.m1684,8
Tharasia jinoides,False,https://www.ebay.com/sch/i.html?_sacat=0&_udlo&_udhi&_ftrt=901&_ftrv=1&_sabdlo&_sabdhi&_samilow&_samihi&_sop=12&_dmd=1&_ipg=200&_fosrp=1&_nkw=%22Tharasia+jinoides%22&rt=nc&LH_PrefLoc=2&_trksid=p2045573.m1684,0
Athyma huochengica,False,https://www.ebay.com/sch/i.html?_sacat=0&_udlo&_udhi&_ftrt=901&_ftrv=1&_sabdlo&_sabdhi&_samilow&_samihi&_sop=12&_dmd=1&_ipg=200&_fosrp=1&_nkw=%22Athyma+huochengica%22&rt=nc&LH_PrefLoc=2&_trksid=p2045573.m1684,0
Pantoporia sauteri,False,https://www.ebay.com/sch/i.html?_sacat=0&_udlo&_udhi&_ftrt=901&_ftrv=1&_sabdlo&_sabdhi&_samilow&_samihi&_sop=12&_dmd=1&_ipg=200&_fosrp=1&_nkw=%22Pantoporia+sauteri%22&rt=nc&LH_PrefLoc=2&_trksid=p2045573.m1684,0
Tacoraea fortuitus,False,https://www.ebay.com/sch/i.html?_sacat=0&_udlo&_udhi&_ftrt=901&_ftrv=1&_sabdlo&_sabdhi&_samilow&_samihi&_sop=12&_dmd=1&_ipg=200&_fosrp=1&_nkw=%22Tacoraea+fortuitus%22&rt=nc&LH_PrefLoc=2&_trksid=p2045573.m1684,0
Pantoporia jina,False,https://www.ebay.com/sch/i.html?_sacat=0&_udlo&_udhi&_ftrt=901&_ftrv=1&_sabdlo&_sabdhi&_samilow&_samihi&_sop=12&_dmd=1&_ipg=200&_fosrp=1&_nkw=%22Pantoporia+jina%22&rt=nc&LH_PrefLoc=2&_trksid=p2045573.m1684,0
Pantoporia jinoides,False,https://www.ebay.com/sch/i.html?_sacat=0&_udlo&_udhi&_ftrt=901&_ftrv=1&_sabdlo&_sabdhi&_samilow&_samihi&_sop=12&_dmd=1&_ipg=200&_fosrp=1&_nkw=%22Pantoporia+jinoides%22&rt=nc&LH_PrefLoc=2&_trksid=p2045573.m1684,0
Athyma kanwa,False,https://www.ebay.com/sch/i.html?_sacat=0&_udlo&_udhi&_ftrt=901&_ftrv=1&_sabdlo&_sabdhi&_samilow&_samihi&_sop=12&_dmd=1&_ipg=200&_fosrp=1&_nkw=%22Athyma+kanwa%22&rt=nc&LH_PrefLoc=2&_trksid=p2045573.m1684,0
Athyma euryleuca,False,https://www.ebay.com/sch/i.html?_sacat=0&_udlo&_udhi&_ftrt=901&_ftrv=1&_sabdlo&_sabdhi&_samilow&_samihi&_sop=12&_dmd=1&_ipg=200&_fosrp=1&_nkw=%22Athyma+euryleuca%22&rt=nc&LH_PrefLoc=2&_trksid=p2045573.m1684,0
Athyma napoleonis,False,https://www.ebay.com/sch/i.html?_sacat=0&_udlo&_udhi&_ftrt=901&_ftrv=1&_sabdlo&_sabdhi&_samilow&_samihi&_sop=12&_dmd=1&_ipg=200&_fosrp=1&_nkw=%22Athyma+napoleonis%22&rt=nc&LH_PrefLoc=2&_trksid=p2045573.m1684,0
Athyma oberisuku,False,https://www.ebay.com/sch/i.html?_sacat=0&_udlo&_udhi&_ftrt=901&_ftrv=1&_sabdlo&_sabdhi&_samilow&_samihi&_sop=12&_dmd=1&_ipg=200&_fosrp=1&_nkw=%22Athyma+oberisuku%22&rt=nc&LH_PrefLoc=2&_trksid=p2045573.m1684,0
Pantoporia phorkys,False,https://www.ebay.com/sch/i.html?_sacat=0&_udlo&_udhi&_ftrt=901&_ftrv=1&_sabdlo&_sabdhi&_samilow&_samihi&_sop=12&_dmd=1&_ipg=200&_fosrp=1&_nkw=%22Pantoporia+phorkys%22&rt=nc&LH_PrefLoc=2&_trksid=p2045573.m1684,0
